run,config,sample,image,time_s,gabarito_count,decoded_count,correct_count,missing_count,accuracy_pct
1,C1,config_1_sample_1,config_1_sample_1.png,247.52,93,93,93,0,100.00
1,C1,config_1_sample_2,config_1_sample_2.png,251.15,93,93,93,0,100.00
1,C1,config_1_sample_3,config_1_sample_3.png,252.38,93,93,93,0,100.00
1,C2,config_2_sample_1,config_2_sample_1.png,264.32,30,30,30,0,100.00
1,C2,config_2_sample_2,config_2_sample_2.png,263.03,30,30,30,0,100.00
1,C2,config_2_sample_3,config_2_sample_3.png,262.86,30,30,30,0,100.00
1,C3,config_3_sample_1,config_3_sample_1.png,251.10,93,93,93,0,100.00
1,C3,config_3_sample_2,config_3_sample_2.png,249.95,93,93,93,0,100.00
1,C3,config_3_sample_3,config_3_sample_3.png,207.47,93,93,93,0,100.00
1,C4,config_4_sample_1,config_4_sample_1.png,233.34,96,96,96,0,100.00
1,C4,config_4_sample_2,config_4_sample_2.png,249.94,96,96,96,0,100.00
1,C4,config_4_sample_3,config_4_sample_3.png,138.92,96,96,96,0,100.00
1,C5,config_5_sample_1,config_5_sample_1.png,254.58,96,96,96,0,100.00
1,C5,config_5_sample_2,config_5_sample_2.png,253.96,96,96,96,0,100.00
1,C5,config_5_sample_3,config_5_sample_3.png,253.13,96,96,96,0,100.00
1,C6,config_6_sample_1,config_6_sample_1.png,100.51,100,100,100,0,100.00
1,C6,config_6_sample_2,config_6_sample_2.png,165.59,100,100,100,0,100.00
1,C6,config_6_sample_3,config_6_sample_3.png,154.25,100,100,100,0,100.00
2,C1,config_1_sample_1,config_1_sample_1.png,247.04,93,93,93,0,100.00
2,C1,config_1_sample_2,config_1_sample_2.png,251.28,93,93,93,0,100.00
2,C1,config_1_sample_3,config_1_sample_3.png,253.57,93,93,93,0,100.00
2,C2,config_2_sample_1,config_2_sample_1.png,263.27,30,30,30,0,100.00
2,C2,config_2_sample_2,config_2_sample_2.png,264.21,30,30,30,0,100.00
2,C2,config_2_sample_3,config_2_sample_3.png,263.24,30,30,30,0,100.00
2,C3,config_3_sample_1,config_3_sample_1.png,251.04,93,93,93,0,100.00
2,C3,config_3_sample_2,config_3_sample_2.png,250.13,93,93,93,0,100.00
2,C3,config_3_sample_3,config_3_sample_3.png,205.94,93,93,93,0,100.00
2,C4,config_4_sample_1,config_4_sample_1.png,233.76,96,96,96,0,100.00
2,C4,config_4_sample_2,config_4_sample_2.png,250.80,96,96,96,0,100.00
2,C4,config_4_sample_3,config_4_sample_3.png,138.98,96,96,96,0,100.00
2,C5,config_5_sample_1,config_5_sample_1.png,254.73,96,96,96,0,100.00
2,C5,config_5_sample_2,config_5_sample_2.png,253.84,96,96,96,0,100.00
2,C5,config_5_sample_3,config_5_sample_3.png,252.66,96,96,96,0,100.00
2,C6,config_6_sample_1,config_6_sample_1.png,100.61,100,100,100,0,100.00
2,C6,config_6_sample_2,config_6_sample_2.png,165.13,100,100,100,0,100.00
2,C6,config_6_sample_3,config_6_sample_3.png,154.51,100,100,100,0,100.00
3,C1,config_1_sample_1,config_1_sample_1.png,246.97,93,93,93,0,100.00
3,C1,config_1_sample_2,config_1_sample_2.png,251.59,93,93,93,0,100.00
3,C1,config_1_sample_3,config_1_sample_3.png,252.98,93,93,93,0,100.00
3,C2,config_2_sample_1,config_2_sample_1.png,263.50,30,30,30,0,100.00
3,C2,config_2_sample_2,config_2_sample_2.png,264.01,30,30,30,0,100.00
3,C2,config_2_sample_3,config_2_sample_3.png,262.86,30,30,30,0,100.00
3,C3,config_3_sample_1,config_3_sample_1.png,250.78,93,93,93,0,100.00
3,C3,config_3_sample_2,config_3_sample_2.png,249.79,93,93,93,0,100.00
3,C3,config_3_sample_3,config_3_sample_3.png,205.89,93,93,93,0,100.00
3,C4,config_4_sample_1,config_4_sample_1.png,233.21,96,96,96,0,100.00
3,C4,config_4_sample_2,config_4_sample_2.png,250.40,96,96,96,0,100.00
3,C4,config_4_sample_3,config_4_sample_3.png,138.80,96,96,96,0,100.00
3,C5,config_5_sample_1,config_5_sample_1.png,254.89,96,96,96,0,100.00
3,C5,config_5_sample_2,config_5_sample_2.png,254.05,96,96,96,0,100.00
3,C5,config_5_sample_3,config_5_sample_3.png,252.77,96,96,96,0,100.00
3,C6,config_6_sample_1,config_6_sample_1.png,100.43,100,100,100,0,100.00
3,C6,config_6_sample_2,config_6_sample_2.png,165.23,100,100,100,0,100.00
3,C6,config_6_sample_3,config_6_sample_3.png,154.29,100,100,100,0,100.00
